"ID","FSM","C1_Eng","C1_Mat","C2_Eng","C2_Mat","C3_Eng","C3_Mat","C1_Btotal","C2_Btotal","C3_Btotal","C1_AGtotal","C2_AGtotal","C3_AGtotal","C1_SCtotal","C2_SCtotal","C3_SCtotal","C1_LTtotal","C2_LTtotal","C3_LTtotal","C1_Ltotal","C2_Ltotal","C3_Ltotal"
1109,1,4,4,4,4,5,5,32,32,31,17,14,15,91,38,27,40,40,14,25,8,7
1110,1,4,5,4,5,6,6,34,34,36,18,16,12,85,88,57,28,28,25,20,21,7
1111,1,4,3,4,3,4,4,40,42,34,14,13,10,102,143,39,31,31,28,30,16,16
1112,2,4,4,4,4,6,6,40,39,37,16,16,14,109,68,28,34,25,22,42,12,7
1113,1,3,4,3,4,4,6,38,30,34,11,13,16,63,73,30,28,22,27,29,8,9
1114,1,4,4,4,4,6,6,34,32,31,12,13,13,69,61,33,37,40,19,19,15,12
1115,1,4,4,4,4,5,6,33,33,31,11,13,11,106,125,91,31,37,31,20,8,8
1116,1,2,2,2,2,3,3,32,34,32,8,16,14,74,101,116,25,37,19,25,10,11
1117,1,4,4,4,4,4,6,39,42,38,11,19,13,163,97,89,25,19,22,22,20,10
1118,1,3,4,3,4,6,6,34,35,34,12,14,15,33,43,41,40,28,19,15,9,12
1119,1,4,4,4,4,5,5,32,37,43,14,9,10,132,53,57,28,37,18,45,20,24
1120,1,3,4,3,4,5,5,43,34,37,16,14,15,114,103,68,34,31,23,32,20,21
1121,1,4,4,4,4,5,5,34,31,31,14,18,15,55,24,20,19,22,25,24,12,8
1122,1,4,4,4,4,5,6,32,33,33,14,14,11,60,37,45,37,37,20,21,10,7
1123,1,4,5,4,5,5,6,44,38,36,12,14,14,91,41,25,31,37,24,51,14,19
1124,2,3,3,3,3,4,3,33,37,33,18,17,18,60,29,26,34,34,25,25,7,8
1125,1,4,4,4,4,5,5,32,39,35,20,17,13,36,74,36,37,37,14,15,14,9
1126,1,4,5,4,5,6,6,34,36,34,20,18,13,93,46,44,40,40,16,17,10,10
1127,1,5,4,5,4,6,6,29,35,30,13,14,15,53,36,43,40,22,23,22,12,10
1128,1,4,4,4,4,5,6,30,32,34,11,14,18,108,39,38,34,40,11,16,7,12
1129,1,5,5,5,5,6,6,39,38,42,18,19,14,81,47,75,31,40,28,24,14,15
1130,1,4,4,4,4,5,6,35,35,35,17,16,19,93,96,109,37,34,21,31,11,9
1131,1,4,4,4,4,5,5,31,33,33,16,14,15,77,105,42,31,31,15,23,19,20
1132,2,5,5,5,5,6,6,36,34,37,17,19,17,104,84,100,37,25,16,55,22,20
1133,1,4,5,4,5,6,7,33,31,37,18,17,17,89,108,47,37,13,36,60,15,26
1134,2,3,4,3,4,4,4,32,33,32,15,16,19,76,28,41,40,31,16,35,9,12
1135,1,5,4,5,4,6,5,36,40,35,16,14,12,132,110,83,34,31,23,25,12,13
