"ID","Time","FSM","Eng","Mat","Btotal","AGtotal","SCtotal","LTtotal","Ltotal"
1111,1,1,4,3,0,0,0,0,0
1111,2,1,0,0,0,13,0,0,16
1111,3,1,4,4,34,10,39,28,16
1112,1,0,0,0,0,0,0,0,0
1112,2,0,0,0,0,0,0,0,0
1112,3,0,6,6,37,14,28,22,7
1113,1,0,0,0,0,0,0,0,0
1113,2,0,0,0,0,0,0,0,0
1113,3,0,4,6,34,16,30,27,9
1114,1,1,4,4,34,12,0,0,19
1114,2,1,0,0,32,13,61,0,0
1114,3,1,6,6,0,13,33,19,0
1115,1,1,4,4,0,0,0,0,0
1115,2,1,0,0,33,13,125,0,8
1115,3,1,5,6,31,11,91,31,8
1116,1,1,2,2,0,0,0,0,0
1116,2,1,0,0,0,16,101,0,0
1116,3,1,3,0,0,0,0,0,0
1117,1,1,4,4,0,0,0,0,0
1117,2,1,0,0,42,19,97,0,20
1117,3,1,4,6,38,13,89,22,10
1118,1,1,3,4,34,12,0,0,15
1118,2,1,0,0,0,0,0,0,0
1118,3,1,0,0,0,0,0,0,0
1119,1,1,4,4,0,0,0,0,0
1119,2,1,0,0,0,9,53,0,20
1119,3,1,5,5,0,10,57,0,24
1120,1,1,3,4,0,16,0,0,0
1120,2,1,0,0,34,14,103,0,20
1120,3,1,5,5,37,15,68,0,21
1121,1,1,4,4,0,0,0,0,0
1121,2,1,0,0,31,18,24,0,12
1121,3,1,5,5,31,15,20,25,8
1122,1,1,4,4,0,14,60,0,21
1122,2,1,0,0,33,14,37,0,10
1122,3,1,5,6,33,11,45,20,7
1123,1,1,4,5,44,12,0,0,51
1123,2,1,0,0,0,14,41,0,14
1123,3,1,5,6,36,14,25,24,19
1124,1,2,3,3,33,18,0,0,25
1124,2,2,0,0,37,17,29,0,7
1124,3,2,4,3,33,18,26,25,8
1125,1,1,4,4,32,20,0,37,15
1125,2,1,0,0,39,17,74,0,14
1125,3,1,5,5,35,13,36,14,9
1126,1,1,4,5,34,20,93,0,17
1126,2,1,0,0,36,18,46,0,10
1126,3,1,6,6,34,13,44,16,10
1127,1,1,5,4,29,13,53,0,22
1127,2,1,0,0,0,14,36,0,12
1127,3,1,6,6,30,15,43,23,10
1128,1,1,4,4,0,0,0,0,0
1128,2,1,0,0,32,14,39,0,7
1128,3,1,5,6,0,0,0,0,0
1129,1,1,5,5,0,0,0,0,0
1129,2,1,0,0,38,19,47,0,14
1129,3,1,6,6,42,14,75,28,15
1131,1,1,4,4,0,0,0,0,0
1131,2,1,0,0,0,14,0,0,19
1131,3,1,5,5,33,15,42,15,20
1132,1,2,5,5,0,0,0,0,0
1132,2,2,0,0,34,19,84,0,22
1132,3,2,6,6,37,17,100,16,20
1133,1,1,4,5,0,0,0,0,0
1133,2,1,0,0,0,0,0,0,0
1133,3,1,0,0,0,0,0,0,0
1134,1,2,3,4,0,0,0,0,0
1134,2,2,0,0,0,16,28,0,9
1134,3,2,4,4,32,19,0,0,12
1135,1,1,5,4,0,0,0,0,0
1135,2,1,0,0,40,14,110,0,12
1135,3,1,6,5,35,12,83,23,13
1137,1,1,4,4,0,0,0,0,0
1137,2,1,0,0,35,8,62,0,17
1137,3,1,4,6,38,15,38,29,7
1139,1,1,5,4,0,0,0,0,0
1139,2,1,0,0,30,15,54,0,11
1139,3,1,5,6,36,13,57,23,13
1140,1,1,4,4,32,13,0,0,21
1140,2,1,0,0,36,18,97,0,12
1140,3,1,6,5,37,14,92,15,8
1141,1,1,5,4,0,0,0,0,0
1141,2,1,0,0,0,15,144,0,10
1141,3,1,6,6,42,14,126,22,12
1142,1,1,3,3,0,0,0,0,0
1142,2,1,0,0,42,20,103,0,7
1142,3,1,4,4,0,0,0,0,0
1143,1,1,4,4,31,18,0,40,15
1143,2,1,0,0,33,17,23,40,7
1143,3,1,5,5,32,13,24,11,7
1144,1,2,3,4,33,11,0,0,32
1144,2,2,0,0,0,12,45,0,0
1144,3,2,4,5,0,0,44,22,0
1145,1,1,5,4,0,0,0,0,0
1145,2,1,0,0,33,16,0,0,8
1145,3,1,5,6,0,15,0,12,7
1146,1,1,2,2,0,0,0,0,0
1146,2,1,0,0,0,0,55,0,15
1146,3,1,3,0,33,14,26,0,29
1147,1,1,4,4,32,17,0,40,20
1147,2,1,0,0,34,15,62,0,0
1147,3,1,5,6,0,13,72,0,7
1148,1,2,4,4,0,0,0,0,0
1148,2,2,0,0,30,13,29,40,10
1148,3,2,6,5,35,16,24,17,7
1149,1,1,4,4,37,14,0,0,17
1149,2,1,0,0,34,17,38,40,7
1149,3,1,6,6,36,14,25,10,9
1150,1,1,4,5,0,0,0,0,0
1150,2,1,0,0,0,19,105,0,18
1150,3,1,5,5,0,0,0,0,0
1151,1,1,4,5,0,0,0,0,0
1151,2,1,0,0,33,18,70,0,12
1151,3,1,5,6,0,0,0,0,0
1152,1,1,4,4,0,0,0,0,0
1152,2,1,0,0,0,16,95,0,7
1152,3,1,5,5,0,0,0,0,0
1153,1,1,4,4,0,0,0,0,0
1153,2,1,0,0,34,20,49,0,8
1153,3,1,5,5,33,19,21,10,7
1154,1,1,4,4,0,0,0,0,0
1154,2,1,0,0,32,20,60,0,9
1154,3,1,6,6,0,0,0,0,0
1155,1,2,5,4,33,17,0,40,17
1155,2,2,0,0,33,17,23,0,7
1155,3,2,6,6,0,15,22,0,7
1156,1,1,5,4,32,16,68,0,18
1156,2,1,0,0,29,12,48,0,16
1156,3,1,6,6,33,14,48,20,11
1157,1,1,5,4,0,0,0,0,0
1157,2,1,0,0,0,0,0,0,0
1157,3,1,0,0,0,0,0,0,0
