,X,ID,C1_B1,C1_B2,C1_B5,C1_B10,C1_B11,C1_B12,C1_B13,C1_B14,C1_B15,C1_B16,C1_B17,C1_B18,C1_B19,C1_B20,C1_B21,C1_B22,C1_B23,C1_B24,C1_B25,C2_B1,C2_B2,C2_B5,C2_B10,C2_B11,C2_B12,C2_B13,C2_B14,C2_B15,C2_B16,C2_B17,C2_B18,C2_B19,C2_B20,C2_B21,C2_B22,C2_B23,C2_B24,C2_B25,C3_B1,C3_B2,C3_B5,C3_B10,C3_B11,C3_B12,C3_B13,C3_B14,C3_B15,C3_B16,C3_B17,C3_B18,C3_B19,C3_B20,C3_B21,C3_B22,C3_B23,C3_B24,C3_B25,C1_AG1,C1_AG2,C1_AG3,C1_AG4,C2_AG1,C2_AG2,C2_AG3,C2_AG4,C3_AG1,C3_AG2,C3_AG3,C3_AG4,FSM,C1_SConcern1,C1_SConcern2,C1_SConcern3,C1_SConcern4,C1_SConcern5,C1_SConcern6,C1_SConcern7,C1_SConcern8,C1_SConcern9,C1_SConcern10,C1_SConcern11,C1_SConcern12,C1_SConcern13,C1_SConcern14,C1_SConcern15,C1_SConcern16,C1_SConcern17,C1_SConcern18,C1_SConcern19,C1_SConcern20,C2_SConcern1,C2_SConcern2,C2_SConcern3,C2_SConcern4,C2_SConcern5,C2_SConcern6,C2_SConcern7,C2_SConcern8,C2_SConcern9,C2_SConcern10,C2_SConcern11,C2_SConcern12,C2_SConcern13,C2_SConcern14,C2_SConcern15,C2_SConcern16,C2_SConcern17,C2_SConcern18,C2_SConcern19,C2_SConcern20,C3_SConcern1,C3_SConcern2,C3_SConcern3,C3_SConcern4,C3_SConcern5,C3_SConcern6,C3_SConcern7,C3_SConcern8,C3_SConcern9,C3_SConcern10,C3_SConcern11,C3_SConcern12,C3_SConcern13,C3_SConcern14,C3_SConcern15,C3_SConcern16,C3_SConcern17,C3_SConcern18,C3_SConcern19,C3_SConcern20,C2_SL1,C2_SL2,C2_SL3,C2_SL4,C2_SL5,C3_SL1,C3_SL2,C3_SL3,C3_SL4,C3_SL5,C1_LT1,C1_LT2,C1_LT3,C1_LT4,C1_LT5,C1_LT6,C1_LT7,C1_LT8,C1_LT9,C1_LT10,C2_LT1,C2_LT2,C2_LT3,C2_LT4,C2_LT5,C2_LT6,C2_LT7,C2_LT8,C2_LT9,C2_LT10,C3_LT1,C3_LT2,C3_LT3,C3_LT4,C3_LT5,C3_LT6,C3_LT7,C3_LT8,C3_LT9,C3_LT10,C1_L1,C1_L2,C1_L3,C1_L4,C1_L5,C1_L6,C1_L7,C1_L8,C1_L9,C1_L10,C1_L11,C1_L12,C1_L13,C1_L14,C1_L15,C2_L1,C2_L2,C2_L6,C2_L7,C2_L11,C2_L14,C2_L15,C3_L1,C3_L2,C3_L6,C3_L7,C3_L11,C3_L14,C3_L15,KS2MathstestNUM,KS2EnglishtestNUM,KS2EnglishTANUM,KS2EngComb
1254,1254,6167,Certainly true,Not true,Not true,Not true,Not true,Not true,Not true,Certainly true,Not true,Not true,Not true,Not true,Sort of true,Certainly true,Certainly true,Not true,Not true,Not true,Certainly true,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Certainly true,Not true,Sort of true,Not true,Certainly true,Sort of true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Certainly true,Not true,Sort of true,Not true,Certainly true,Always,Always,Always,Often,Always,Always,Always,Always,Sometimes,Often,Always,Always,No,Not at all worried,Not at all worried,Not at all worried,2,5,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,3,Not at all worried,Not at all worried,Not at all worried,Not at all worried,I get extremely worried about it,2,2,Not at all worried,5,Not at all worried,Not at all worried,7,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,9,6,5,3,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,4,Not at all worried,2,2,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,3,3,3,YES!!,NO!!,NO!!,YES!!,NO!!,YES!!,NO!!,no,yes,NO!!,YES!!,NO!!,YES!!,NO!!,YES!!,NO!!,YES!!,NO!!,YES!!,YES!!,YES!!,NO!!,YES!!,NO!!,YES!!,NO!!,YES!!,NO!!,YES!!,YES!!,YES!!,NO!!,yes,no,YES!!,YES!!,YES!!,yes,YES!!,YES!!,Always true,Not true at all,Always true,Hardly ever true,Always true,Hardly ever true,Always true,Not true at all,Hardly ever true,Always true,Hardly ever true,Hardly ever true,Hardly ever true,Hardly ever true,Always true,Always true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,Always true,True most of the time,Not true at all,Not true at all,Always true,Not true at all,Not true at all,True most of the time,3,NA,3,3
1255,1255,6168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Not true,Not true,NA,Sort of true,Not true,Not true,Sort of true,Certainly true,Certainly true,Certainly true,Sort of true,Not true,Certainly true,NA,Not true,Not true,Not true,Sort of true,Certainly true,Sort of true,NA,Sort of true,Certainly true,Not true,Sort of true,Sort of true,Sort of true,Certainly true,Certainly true,Not true,Sort of true,Certainly true,Certainly true,Not true,Sort of true,Sort of true,Sort of true,NA,NA,NA,NA,Always,Always,Always,Always,Often,Often,Often,Often,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,8,I get extremely worried about it,8,Not at all worried,8,4,4,I get extremely worried about it,8,4,6,Not at all worried,9,Not at all worried,6,5,9,I get extremely worried about it,7,2,7,5,6,Not at all worried,I get extremely worried about it,Not at all worried,8,7,I get extremely worried about it,3,9,Not at all worried,Not at all worried,7,5,Not at all worried,6,I get extremely worried about it,yes,no,NO!!,no,NO!!,yes,NA,NO!!,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES!!,No,No,NO!!,YES!!,No,YES!!,NO!!,YES!!,YES!!,YES!!,NO!!,yes,no,YES!!,no,NA,no,YES!!,YES!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hardly ever true,Sometimes true,NA,True most of the time,Not true at all,Sometimes true,Sometimes true,Hardly ever true,Sometimes true,Not true at all,Hardly ever true,Not true at all,Hardly ever true,Hardly ever true,5,NA,4,4
1256,1256,6169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Not true,Not true,Not true,Sort of true,Not true,Sort of true,Sort of true,Sort of true,Not true,Sort of true,Not true,Sort of true,Not true,Sort of true,Not true,Sort of true,Not true,Sort of true,Certainly true,Not true,Not true,Sort of true,Certainly true,Not true,Not true,Sort of true,Certainly true,Sort of true,Certainly true,Not true,Not true,Certainly true,Sort of true,Not true,Certainly true,Not true,Sort of true,NA,NA,NA,NA,Sometimes,Always,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Not at all worried,I get extremely worried about it,Not at all worried,9,Not at all worried,9,4,6,I get extremely worried about it,I get extremely worried about it,Not at all worried,I get extremely worried about it,8,Not at all worried,Not at all worried,Not at all worried,5,I get extremely worried about it,Not at all worried,5,Not at all worried,NA,3,I get extremely worried about it,Not at all worried,5,5,Not at all worried,Not at all worried,8,9,I get extremely worried about it,I get extremely worried about it,Not at all worried,Not at all worried,Not at all worried,5,I get extremely worried about it,Not at all worried,YES!!,NO!!,NO!!,YES!!,NO!!,no,YES!!,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NO!!,YES!!,NO!!,YES!!,NO!!,YES!!,NO!!,YES!!,YES!!,no,no,yes,yes,yes,no,NA,yes,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,Not true at all,Sometimes true,Sometimes true,Sometimes true,Not true at all,Not true at all,Not true at all,Hardly ever true,N (below level 2 in test) or B (working below level of the test),NA,3,3
1257,1257,6170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Certainly true,Not true,Sort of true,Not true,Sort of true,Certainly true,Sort of true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Sort of true,Sort of true,Not true,Sort of true,Not true,Sort of true,Sort of true,Not true,Not true,Not true,Sort of true,NA,NA,NA,NA,Often,Always,Always,Often,Sometimes,Often,Always,Sometimes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Not at all worried,4,Not at all worried,7,Not at all worried,I get extremely worried about it,Not at all worried,4,Not at all worried,7,Not at all worried,4,2,3,Not at all worried,Not at all worried,8,Not at all worried,2,3,2,Not at all worried,Not at all worried,8,Not at all worried,2,Not at all worried,3,Not at all worried,2,Not at all worried,2,2,Not at all worried,Not at all worried,Not at all worried,2,2,Not at all worried,yes,NO!!,no,yes,NO!!,yes,NO!!,no,YES!!,NO!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NO!!,Yes,NO!!,YES!!,NO!!,YES!!,No,Yes,Yes,yes,no,yes,NO!!,YES!!,no,YES!!,NO!!,YES!!,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True most of the time,Not true at all,Not true at all,Always true,Not true at all,Not true at all,Always true,True most of the time,Always true,Not true at all,Always true,Hardly ever true,Not true at all,True most of the time,4,NA,4,4
1258,1258,6171,Certainly true,Sort of true,Not true,Not true,Sort of true,Not true,Sort of true,Sort of true,Not true,Certainly true,Certainly true,Not true,Not true,Certainly true,Certainly true,Not true,Sort of true,Certainly true,Sort of true,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Certainly true,Sort of true,Sort of true,Sort of true,Certainly true,Not true,Sort of true,Certainly true,Certainly true,Not true,Not true,Sort of true,Sort of true,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Sort of true,Not true,Certainly true,Not true,Not true,Certainly true,Sort of true,Not true,Not true,Sort of true,Sort of true,Sometimes,Often,NA,Often,Always,Always,Always,Often,Sometimes,Sometimes,Often,Always,No,6,6,Not at all worried,6,9,Not at all worried,8,2,4,6,9,2,8,2,9,2,3,8,Not at all worried,9,9,7,Not at all worried,Not at all worried,I get extremely worried about it,Not at all worried,8,2,9,Not at all worried,8,2,8,Not at all worried,7,2,7,I get extremely worried about it,Not at all worried,5,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,YES!!,NO!!,NO!!,NO!!,NO!!,yes,no,no,YES!!,NO!!,Yes,NO!!,YES!!,NO!!,Yes,Yes,Yes,No,NO!!,NO!!,Yes,NO!!,YES!!,NO!!,YES!!,No,YES!!,Yes,No,NO!!,yes,no,yes,no,yes,no,yes,no,yes,yes,Sometimes true,Not true at all,Hardly ever true,Sometimes true,Hardly ever true,Not true at all,True most of the time,Not true at all,Not true at all,True most of the time,Sometimes true,True most of the time,Not true at all,Not true at all,Sometimes true,True most of the time,Not true at all,Hardly ever true,True most of the time,Hardly ever true,Not true at all,True most of the time,Always true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,True most of the time,4,NA,5,5
1259,1259,6172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Sort of true,Sort of true,Not true,Certainly true,Sort of true,Not true,Certainly true,Sort of true,Not true,Certainly true,Not true,Not true,Certainly true,Sort of true,Not true,Sort of true,Not true,Sort of true,Sort of true,Certainly true,Certainly true,Certainly true,Certainly true,Certainly true,Sort of true,Certainly true,Certainly true,Certainly true,Certainly true,Certainly true,Sort of true,Sort of true,Sort of true,Not true,Certainly true,Sort of true,Sort of true,NA,NA,NA,NA,Often,Often,Always,Always,Often,Often,Always,Sometimes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,Not at all worried,4,2,6,Not at all worried,3,Not at all worried,3,7,4,3,7,Not at all worried,Not at all worried,6,7,Not at all worried,4,Not at all worried,2,2,7,3,2,Not at all worried,3,Not at all worried,NA,2,4,Not at all worried,Not at all worried,Not at all worried,3,Not at all worried,8,Not at all worried,YES!!,NO!!,no,YES!!,NO!!,no,yes,yes,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,YES!!,No,NO!!,YES!!,Yes,YES!!,Yes,No,YES!!,yes,yes,no,no,yes,NA,NA,no,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True most of the time,Sometimes true,Not true at all,Always true,Not true at all,Hardly ever true,Sometimes true,True most of the time,Hardly ever true,Sometimes true,True most of the time,Sometimes true,Hardly ever true,Sometimes true,5,NA,4,4
1260,1260,6173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Certainly true,Not true,Not true,Not true,Certainly true,Certainly true,Sort of true,Sort of true,Sort of true,Certainly true,Not true,Not true,Certainly true,Certainly true,Sort of true,Certainly true,Certainly true,Sort of true,Sort of true,Sort of true,Not true,Not true,Certainly true,Sort of true,NA,NA,NA,NA,Never,Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not at all worried,Not at all worried,Not at all worried,NA,Not at all worried,Not at all worried,Not at all worried,NA,Not at all worried,Not at all worried,Not at all worried,NA,Not at all worried,Not at all worried,Not at all worried,NA,Not at all worried,Not at all worried,Not at all worried,NA,Not at all worried,6,3,5,5,Not at all worried,2,Not at all worried,Not at all worried,7,Not at all worried,Not at all worried,3,5,2,Not at all worried,3,6,8,Not at all worried,YES!!,NO!!,NO!!,YES!!,NO!!,yes,no,no,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES!!,NO!!,YES!!,NO!!,YES!!,NO!!,YES!!,NO!!,YES!!,YES!!,no,yes,no,no,yes,yes,yes,no,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Always true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,Always true,Always true,Not true at all,Hardly ever true,Not true at all,Not true at all,Not true at all,True most of the time,4,NA,5,5
1261,1261,6174,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Not true,Sort of true,Certainly true,Not true,Not true,Certainly true,Certainly true,Not true,Not true,Sort of true,Certainly true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seldom,Sometimes,Often,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,2,2,8,6,2,3,4,2,5,4,5,5,5,8,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NO!!,Yes,NO!!,Yes,NO!!,YES!!,NO!!,YES!!,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hardly ever true,Not true at all,True most of the time,True most of the time,True most of the time,Not true at all,Always true,Not true at all,Not true at all,True most of the time,Not true at all,Not true at all,Not true at all,Not true at all,True most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1262,1262,6175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1263,1263,6176,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Sort of true,Not true,Certainly true,Not true,Not true,Certainly true,Certainly true,Not true,Not true,Not true,Certainly true,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Sort of true,Certainly true,Not true,Not true,Certainly true,Certainly true,Not true,Not true,Sort of true,Certainly true,Certainly true,Sort of true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Sort of true,Certainly true,Not true,Not true,Certainly true,Sort of true,Not true,Not true,Sort of true,Certainly true,Sometimes,Sometimes,Often,Often,Often,Often,Always,Always,Always,Always,Always,Always,No,Not at all worried,2,4,7,5,Not at all worried,8,Not at all worried,Not at all worried,7,5,Not at all worried,4,2,2,Not at all worried,3,9,2,7,5,8,4,5,8,Not at all worried,9,Not at all worried,2,9,8,Not at all worried,9,3,5,2,8,6,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NO!!,no,YES!!,no,YES!!,NO!!,NO!!,YES!!,NO!!,YES!!,No,Yes,NO!!,YES!!,No,YES!!,No,YES!!,YES!!,Yes,No,Yes,No,YES!!,No,YES!!,No,Yes,YES!!,yes,no,yes,NO!!,YES!!,NO!!,YES!!,no,YES!!,NO!!,Always true,Not true at all,Always true,Not true at all,Always true,Not true at all,Always true,Hardly ever true,Not true at all,Always true,Not true at all,Not true at all,Not true at all,Not true at all,True most of the time,True most of the time,Not true at all,Not true at all,Always true,Not true at all,Not true at all,True most of the time,Always true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,Always true,4,NA,4,4
1264,1264,6177,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Certainly true,Not true,Sort of true,Not true,Certainly true,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Not true,Sort of true,Sort of true,Not true,Not true,Sort of true,Sort of true,Not true,Sort of true,Not true,Sort of true,Certainly true,Not true,Sort of true,Not true,Certainly true,Not true,Not true,Sort of true,Not true,Sort of true,Sort of true,Not true,Not true,Sort of true,Certainly true,Not true,Certainly true,Sort of true,Sort of true,Always,Always,Always,Often,Sometimes,Often,Always,Often,Sometimes,Often,Always,Sometimes,No,5,6,4,7,5,5,6,4,5,7,7,2,7,7,4,Not at all worried,Not at all worried,7,8,2,4,6,Not at all worried,2,2,3,7,Not at all worried,3,5,7,Not at all worried,Not at all worried,2,6,Not at all worried,5,Not at all worried,7,3,2,4,3,3,2,Not at all worried,3,Not at all worried,3,2,3,2,2,3,4,Not at all worried,Not at all worried,3,6,4,yes,no,no,YES!!,no,yes,no,no,yes,NO!!,YES!!,No,Yes,NO!!,NA,YES!!,YES!!,NO!!,YES!!,YES!!,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,yes,no,no,no,yes,no,yes,no,yes,no,Always true,Hardly ever true,True most of the time,Hardly ever true,Always true,Not true at all,Always true,Not true at all,Not true at all,Always true,Not true at all,Hardly ever true,Not true at all,Not true at all,Always true,Always true,Hardly ever true,Always true,Always true,Hardly ever true,Not true at all,True most of the time,True most of the time,Sometimes true,Hardly ever true,True most of the time,Hardly ever true,Hardly ever true,True most of the time,5,NA,5,5
1265,1265,6178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1266,1266,6179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Not true,Sort of true,Not true,Certainly true,Not true,Not true,Sort of true,Not true,Sort of true,Certainly true,Not true,Not true,Sort of true,Sort of true,Not true,Not true,Sort of true,Sort of true,NA,NA,NA,NA,Often,Often,Often,Sometimes,Sometimes,Seldom,Sometimes,Sometimes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,4,Not at all worried,7,Not at all worried,3,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,2,2,Not at all worried,Not at all worried,7,6,7,Not at all worried,5,2,Not at all worried,2,Not at all worried,Not at all worried,3,Not at all worried,Not at all worried,3,2,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,3,Not at all worried,yes,no,yes,no,no,yes,NO!!,no,yes,NO!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,yes,no,yes,NO!!,YES!!,no,yes,NO!!,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True most of the time,Sometimes true,True most of the time,Sometimes true,Hardly ever true,Hardly ever true,Sometimes true,Sometimes true,Not true at all,Not true at all,True most of the time,Not true at all,Not true at all,Hardly ever true,4,NA,4,4
1267,1267,6180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Certainly true,Sort of true,Sort of true,Certainly true,Not true,Not true,Not true,Certainly true,Sort of true,Sort of true,Not true,Not true,Sort of true,Sort of true,Not true,Not true,Sort of true,Sort of true,NA,NA,NA,NA,Always,Always,Often,Always,Often,Always,Always,Often,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,Not at all worried,9,Not at all worried,5,3,Not at all worried,2,2,Not at all worried,4,Not at all worried,Not at all worried,Not at all worried,2,9,9,4,2,2,Not at all worried,Not at all worried,3,2,2,Not at all worried,Not at all worried,2,2,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,2,3,Not at all worried,YES!!,NO!!,NO!!,yes,NO!!,YES!!,NO!!,NO!!,YES!!,NO!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NO!!,YES!!,No,YES!!,No,YES!!,No,YES!!,YES!!,YES!!,YES!!,YES!!,NO!!,YES!!,NO!!,YES!!,NO!!,YES!!,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True most of the time,Not true at all,Not true at all,Always true,Not true at all,Not true at all,Sometimes true,True most of the time,Not true at all,Not true at all,True most of the time,Not true at all,Not true at all,True most of the time,4,NA,4,4
1268,1268,6181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Sort of true,Not true,NA,Sort of true,Not true,Not true,Certainly true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sort of true,Sort of true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Not true,Not true,Sort of true,Sort of true,Not true,Sort of true,Sort of true,Not true,Not true,Not true,Sort of true,NA,NA,NA,NA,Often,Always,Always,Always,Sometimes,Often,Often,Often,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Not at all worried,2,Not at all worried,2,Not at all worried,6,2,Not at all worried,4,3,3,4,2,3,Not at all worried,7,8,2,3,4,4,Not at all worried,Not at all worried,2,6,4,Not at all worried,Not at all worried,NA,5,3,2,3,6,3,3,7,6,Not at all worried,YES!!,NO!!,no,NA,NO!!,YES!!,NO!!,no,YES!!,NO!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Yes,NO!!,YES!!,NO!!,YES!!,No,YES!!,YES!!,yes,no,yes,yes,yes,no,yes,no,YES!!,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not true at all,Not true at all,Not true at all,Always true,Not true at all,Not true at all,True most of the time,Sometimes true,Hardly ever true,Hardly ever true,Hardly ever true,Not true at all,Not true at all,Sometimes true,4,NA,4,4
